plotID,rich_after,rich_before,q1_after,q1_before,q2_after,q2_before,cov_after,cov_before,nyr_after,nyr_before,drich,dq1,dq2,impact,severity,recency
JERC_055,8.0,12.0,4.450108568685369,4.251417770586047,3.271877979027646,2.9564380104920644,1.0,0.9763483682626638,1.0,4.0,-4.0,0.19869079809932177,0.31543996853558154,0,0.0,
JERC_056,7.0,10.0,4.779459136798413,4.423659394238134,3.983852797596695,3.600850259801606,1.0,0.9826839826839827,1.0,4.0,-3.0,0.35579974256027835,0.3830025377950892,0,0.0,
JERC_057,13.0,17.0,8.217380558232966,8.5714988926071,6.760106030483765,6.556186152099885,0.9504950495049505,0.9868421052631579,1.0,3.0,-4.0,-0.3541183343741334,0.20391987838388026,0,0.0,
MLBS_061,9.0,11.0,6.545604864740197,9.080959969805642,5.3980629788106285,7.8106575963718825,1.0,1.0,7.0,2.0,-2.0,-2.5353551050654453,-2.412594617561254,0,0.0,
MLBS_062,7.0,7.0,5.373747097817914,5.704715623923967,4.8019122927340945,5.113856068743288,1.0,1.0,4.0,2.0,0.0,-0.3309685261060533,-0.3119437760091932,0,0.0,
MLBS_063,11.0,11.0,7.058684440046872,6.960827386109277,5.385379162287272,5.4739062846990905,1.0,0.9937111989034911,7.0,2.0,0.0,0.09785705393759514,-0.08852712241181848,0,0.0,
MLBS_064,11.0,13.0,7.014274705689581,7.624097830541747,5.855043201995309,5.865755476502527,0.9984076433121019,0.9887005649717514,7.0,2.0,-2.0,-0.6098231248521664,-0.010712274507218567,0,0.0,
MLBS_065,10.0,11.0,7.105039774067617,7.195832709337996,5.911021038409574,5.92423428264374,1.0,0.990995670995671,4.0,2.0,-1.0,-0.0907929352703789,-0.0132132442341657,0,0.0,
MLBS_066,9.0,7.0,6.315910038873014,6.157756287923328,5.538461538461538,5.813813813813814,0.9729832572298326,1.0,2.0,2.0,2.0,0.15815375094968598,-0.2753522753522759,0,0.0,
MLBS_067,8.0,10.0,4.524169454787802,3.93696045205879,3.560501126708152,2.7178726318192195,0.9975903614457832,0.9949249541086276,6.0,2.0,-2.0,0.5872090027290118,0.8426284948889324,0,0.0,
MLBS_068,10.0,11.0,7.858975619116944,8.822342672768054,6.765311653116531,7.716990533134032,1.0,1.0,2.0,2.0,-1.0,-0.9633670536511092,-0.9516788800175009,0,0.0,
MLBS_069,9.0,11.0,6.64474707619235,7.5201734700566005,5.799078702342448,6.361256544502617,1.0,0.9928073000536769,6.0,2.0,-2.0,-0.8754263938642506,-0.5621778421601693,0,0.0,
MLBS_070,11.0,13.0,7.227896203301918,9.455003506987705,5.316504854368931,7.368050117462805,0.9875128292849812,1.0,2.0,2.0,-2.0,-2.227107303685787,-2.0515452630938737,0,0.0,
MLBS_071,10.0,12.0,6.021288811556404,7.077739040964933,3.883029721955896,4.588162762022194,1.0,1.0,2.0,2.0,-2.0,-1.0564502294085294,-0.7051330400662983,0,0.0,
MLBS_072,10.0,10.0,7.514424413685514,7.799255953092611,6.13528212100612,6.63013698630137,0.9894736842105263,1.0,2.0,2.0,0.0,-0.2848315394070964,-0.4948548652952498,0,0.0,
MLBS_073,9.0,11.0,4.631523178261118,5.059926767676998,2.825824431026475,2.963066708164748,1.0,0.9940828402366864,2.0,2.0,-2.0,-0.42840358941587997,-0.1372422771382733,1,0.1097562117771906,7.0
MLBS_074,10.0,11.0,4.9446214916565046,5.530530860268782,3.8302066017573027,4.217638070290329,0.9925960747443883,0.99310551558753,2.0,2.0,-1.0,-0.5859093686122776,-0.38743146853302646,0,0.0,
MLBS_075,10.0,10.0,6.538702121114577,6.837087589337615,5.473341473341474,5.684982364952664,0.9878048780487805,0.9942857142857143,2.0,2.0,0.0,-0.2983854682230378,-0.21164089161119026,0,0.0,
MLBS_076,8.0,11.0,5.446701376170148,6.617090139444763,4.170212765957447,5.0038610038610045,1.0,0.9954130397678784,2.0,2.0,-3.0,-1.170388763274615,-0.8336482379035575,0,0.0,
