plotID,fire,fire_year,fire_type,n_fires
RMNP_041,0,0,,0
RMNP_042,0,0,,0
RMNP_043,0,0,,0
RMNP_044,0,0,,0
RMNP_045,0,0,,0
RMNP_046,0,0,,0
RMNP_047,0,0,,0
RMNP_048,0,0,,0
RMNP_049,0,0,,0
SCBI_002,0,0,,0
SCBI_003,0,0,,0
SCBI_004,0,0,,0
SCBI_005,0,0,,0
SCBI_006,0,0,,0
SCBI_007,0,0,,0
SCBI_008,0,0,,0
SCBI_010,0,0,,0
SCBI_011,0,0,,0
SCBI_012,0,0,,0
SCBI_013,0,0,,0
SCBI_014,0,0,,0
SCBI_015,0,0,,0
SCBI_016,0,0,,0
SCBI_017,0,0,,0
SCBI_018,0,0,,0
SCBI_019,0,0,,0
SCBI_021,0,0,,0
SCBI_022,0,0,,0
SCBI_023,0,0,,0
SCBI_033,0,0,,0
SCBI_034,0,0,,0
SCBI_035,0,0,,0
SCBI_038,0,0,,0
SCBI_045,0,0,,0
SCBI_046,0,0,,0
SCBI_047,0,0,,0
SCBI_048,0,0,,0
SCBI_049,0,0,,0
SCBI_050,0,0,,0
SCBI_051,0,0,,0
SCBI_052,0,0,,0
SCBI_053,0,0,,0
SCBI_054,0,0,,0
SCBI_055,0,0,,0
SCBI_056,0,0,,0
SCBI_057,0,0,,0
SCBI_058,0,0,,0
SCBI_061,0,0,,0
SCBI_062,0,0,,0
SCBI_063,0,0,,0
SCBI_064,0,0,,0
SCBI_066,0,0,,0
SCBI_067,0,0,,0
SCBI_071,0,0,,0
SERC_001,0,0,,0
SERC_002,0,0,,0
SERC_003,0,0,,0
SERC_004,0,0,,0
SERC_005,0,0,,0
SERC_006,0,0,,0
SERC_007,0,0,,0
SERC_008,0,0,,0
SERC_009,0,0,,0
SERC_010,0,0,,0
SERC_011,0,0,,0
SERC_012,0,0,,0
SERC_013,0,0,,0
SERC_014,0,0,,0
SERC_016,0,0,,0
SERC_017,0,0,,0
SERC_018,0,0,,0
SERC_019,0,0,,0
SERC_021,0,0,,0
SERC_022,0,0,,0
SERC_043,0,0,,0
SERC_044,0,0,,0
SERC_045,0,0,,0
SERC_046,0,0,,0
SERC_047,0,0,,0
SERC_048,0,0,,0
SERC_049,0,0,,0
SERC_050,0,0,,0
SERC_051,0,0,,0
SERC_052,0,0,,0
SERC_053,0,0,,0
SERC_054,0,0,,0
SERC_055,0,0,,0
SERC_056,0,0,,0
SERC_057,0,0,,0
SERC_058,0,0,,0
SERC_059,0,0,,0
SERC_060,0,0,,0
SERC_061,0,0,,0
SERC_062,0,0,,0
SERC_067,0,0,,0
SERC_073,0,0,,0
SOAP_001,0,0,,0
SOAP_002,1,2020,Wildfire,1
SOAP_003,0,0,,0
SOAP_004,0,0,,0
SOAP_006,1,2020,Wildfire,1
SOAP_007,0,0,,0
SOAP_008,1,2020,Wildfire,1
SOAP_009,0,0,,0
SOAP_010,0,0,,0
