plotID,insitu_mortdmg_max,insitu_peak_year,insitu_spike,insitu_burn,insitu_insect,insitu_dead_max,insitu_dist,neon_event,neon_event_year,neon_event_type,remark_year,remark,remote_dist,remote_year,remote_sev,d_fire,d_loss,d_spec,neon_dist,neon_dist_year,neon_severity,neon_dist_type,disturbed,dist_year,severity,recency
BLAN_005,0.2413793103448276,2019.0,0.0788793103448275,0.0,0.0172413793103448,0.1228070175438596,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2019.0,0.2413793103448276,insect,0,,0.2413793103448276,
BLAN_006,,,0.0,,,,0,1,2025.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2025.0,0.0,harvest,1,2025.0,0.0,0.0
BLAN_007,0.2666666666666666,2024.0,0.1393939393939394,0.0,0.0547945205479452,0.0666666666666666,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2024.0,0.2666666666666666,insect,0,,0.2666666666666666,
BLAN_008,,,0.0,,,,0,1,2025.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2025.0,0.0,harvest,1,2025.0,0.0,0.0
BLAN_009,0.123076923076923,2019.0,0.049002849002849,0.0,0.0,0.12,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2019.0,0.123076923076923,mortality,0,,0.123076923076923,
BLAN_010,,,0.0,,,,0,1,2025.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2025.0,0.0,harvest,1,2025.0,0.0,0.0
BLAN_011,0.1428571428571428,2019.0,0.0428571428571428,0.0,0.0129870129870129,0.0476190476190476,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2019.0,0.1428571428571428,insect,0,,0.1428571428571428,
BLAN_012,0.0597014925373134,2015.0,0.0171483010479517,0.0,0.0,0.0476190476190476,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2015.0,0.0597014925373134,mortality,0,,0.0597014925373134,
BLAN_013,0.3125,2024.0,0.2591666666666666,0.0,0.0,0.0625,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2024.0,0.3125,mortality,0,,0.3125,
BLAN_014,,,0.0,,,,0,1,2025.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2025.0,0.0,harvest,1,2025.0,0.0,0.0
