plotID,s2_dist,s2_dist_year,s2_dist_mag,s2_recovery,nbr_trend
SOAP_020,1,2021,-0.155,0.0462,0.0192
SOAP_021,1,2017,-0.081,0.0128,0.0088
SOAP_022,0,0,-0.077,0.03,0.0065
SOAP_024,1,2021,-0.335,0.0579,-0.0272
SOAP_031,1,2021,-0.101,0.0318,0.006
SOAP_043,1,2021,-0.443,0.0622,-0.0298
SOAP_044,1,2021,-0.351,0.038,-0.0341
SOAP_045,1,2021,-0.395,0.0648,-0.0485
SOAP_046,1,2021,-0.345,0.0541,-0.0218
SOAP_047,1,2021,-0.624,0.0957,-0.0425
SOAP_048,0,0,-0.049,0.0283,0.0104
SOAP_049,1,2021,-0.126,0.0357,-0.0007
SOAP_050,1,2021,-0.274,0.0239,-0.0302
SOAP_051,1,2021,-0.235,0.0471,-0.0097
SOAP_052,1,2021,-0.604,0.1101,-0.0371
SOAP_053,1,2021,-0.593,0.0982,-0.0469
SOAP_054,1,2021,-0.228,0.0813,-0.0302
SOAP_055,1,2021,-0.247,0.044,-0.0133
SOAP_056,1,2021,-0.518,0.0844,-0.0554
