plotID,siteID,n_good_plots,lcbd_bray_cov,lcbd_turnover_cov,lcbd_nestedness_cov
MLBS_072,MLBS,31,0.5864462613002759,0.24846560846560847,0.1576835061509984
MLBS_073,MLBS,31,0.5652020587858484,0.2727380952380952,0.09445264430558549
MLBS_075,MLBS,31,0.559686127344023,0.31666666666666654,0.08393439893439895
MLBS_076,MLBS,31,0.6232575742830178,0.3031746031746031,0.07767644120585297
ORNL_001,ORNL,21,0.6903523182959649,0.43068181818181817,0.13523213336371231
ORNL_004,ORNL,21,0.6583285819325508,0.24166666666666664,0.2445171495171495
ORNL_006,ORNL,21,0.6848315050556699,0.452579365079365,0.08268760813601976
ORNL_010,ORNL,21,0.5427131281660145,0.4125,0.0780992292021704
ORNL_019,ORNL,21,0.6715985369452412,0.35,0.2729155158566923
ORNL_032,ORNL,21,0.8681899098621605,0.5416666666666666,0.08181094232564821
ORNL_035,ORNL,21,0.8627297514397206,0.6416666666666667,0.05675465057817998
ORNL_036,ORNL,21,0.6499250055882595,0.4666666666666666,0.08547412554765496
ORNL_037,ORNL,21,0.562210777543637,0.41636904761904764,0.08263723033072878
ORNL_045,ORNL,21,0.5224692370410634,0.35922619047619053,0.09452974571008628
ORNL_049,ORNL,21,0.6024442760490382,0.39934523809523803,0.10923966685189597
ORNL_052,ORNL,21,0.5167939258043013,0.36666666666666664,0.10489226459814693
ORNL_053,ORNL,21,0.5985265338725911,0.4345238095238095,0.08045313819307627
ORNL_054,ORNL,21,0.6317057172804503,0.4749999999999999,0.08277131365366659
ORNL_056,ORNL,21,0.49645022570033664,0.3297619047619047,0.09242712353006473
ORNL_057,ORNL,21,0.550739203639079,0.4113095238095238,0.0817608861726509
ORNL_058,ORNL,21,0.6050493994931692,0.3148015873015873,0.13880830469839756
ORNL_061,ORNL,21,0.6363144617428766,0.3110984848484849,0.21601389211811206
ORNL_062,ORNL,21,0.648374297954412,0.5130952380952382,0.06582468185409363
ORNL_063,ORNL,21,0.6209706393212343,0.5133928571428571,0.07470233431634699
ORNL_068,ORNL,21,0.7098485404261676,0.5187499999999999,0.06801260057452005
OSBS_002,OSBS,34,0.4191211837806291,0.16666666666666666,0.08282828282828283
OSBS_003,OSBS,34,0.8278788692674786,0.44949494949494945,0.18961038961038962
OSBS_004,OSBS,34,0.4527474691131338,0.4090909090909091,0.08787878787878788
OSBS_005,OSBS,34,0.9887511478420569,0.9595959595959596,0.015151515151515152
OSBS_006,OSBS,34,0.5187188030257265,0.12121212121212122,0.30404040404040406
OSBS_007,OSBS,34,0.6412092873180161,0.15656565656565655,0.28340548340548344
OSBS_008,OSBS,34,0.4533496141034376,0.16666666666666666,0.08282828282828283
OSBS_010,OSBS,34,0.9892630233539325,0.9696969696969697,0.0014430014430014445
OSBS_013,OSBS,34,0.4336579563306425,0.16666666666666666,0.08282828282828283
OSBS_022,OSBS,34,0.9924242424242424,0.9696969696969697,0.015151515151515152
OSBS_023,OSBS,34,1.0,1.0,0.0
OSBS_025,OSBS,34,0.7793855525982146,0.16666666666666666,0.08282828282828283
OSBS_026,OSBS,34,0.40088058303618324,0.16666666666666666,0.08282828282828283
OSBS_027,OSBS,34,0.4143616437891152,0.1515151515151515,0.182972582972583
OSBS_028,OSBS,34,0.42223956659985434,0.16666666666666666,0.08282828282828283
OSBS_029,OSBS,34,0.5840312454378134,0.16666666666666666,0.08282828282828283
OSBS_030,OSBS,34,0.4175764893164488,0.16666666666666666,0.08282828282828283
OSBS_031,OSBS,34,0.47225349942227124,0.16666666666666666,0.08282828282828283
OSBS_032,OSBS,34,0.5314080712315152,0.16666666666666666,0.08282828282828283
OSBS_033,OSBS,34,0.43846116689391196,0.1515151515151515,0.182972582972583
OSBS_034,OSBS,34,0.46181822165942316,0.21717171717171715,0.17705627705627708
OSBS_035,OSBS,34,0.43370412324240215,0.12121212121212122,0.30404040404040406
OSBS_036,OSBS,34,0.3970945922715076,0.16666666666666666,0.08282828282828283
OSBS_037,OSBS,34,0.5516498353975012,0.12121212121212122,0.30404040404040406
OSBS_038,OSBS,34,0.5518285563657273,0.16666666666666666,0.08282828282828283
OSBS_039,OSBS,34,0.4110799982882869,0.16666666666666666,0.08282828282828283
OSBS_040,OSBS,34,0.5092900699128589,0.16666666666666666,0.08282828282828283
OSBS_041,OSBS,34,0.5187188030257265,0.12121212121212122,0.30404040404040406
OSBS_042,OSBS,34,0.5989448390615292,0.16666666666666666,0.08282828282828283
OSBS_043,OSBS,34,0.4515310381959593,0.16666666666666666,0.08282828282828283
OSBS_044,OSBS,34,0.4001536321366681,0.15151515151515152,0.182972582972583
OSBS_048,OSBS,34,0.4568315562518223,0.4444444444444444,0.1284271284271284
OSBS_063,OSBS,34,0.4533496141034376,0.16666666666666666,0.08282828282828283
OSBS_067,OSBS,34,0.4563248455763192,0.16666666666666666,0.08282828282828283
RMNP_001,RMNP,28,0.5958376297005569,0.3271604938271605,0.10702527924750148
RMNP_002,RMNP,28,0.7285073826991207,0.3271604938271605,0.10702527924750148
RMNP_003,RMNP,28,0.7607833279105762,0.2685185185185185,0.15817166372721927
RMNP_004,RMNP,28,0.6706187925454083,0.19567901234567897,0.275239164128053
RMNP_005,RMNP,28,0.76771963701836,0.2685185185185185,0.15817166372721927
RMNP_006,RMNP,28,0.7239407380205117,0.4876543209876542,0.08450911228689008
RMNP_007,RMNP,28,0.6730337364986592,0.19567901234567897,0.275239164128053
RMNP_008,RMNP,28,0.7175500869334532,0.41975308641975306,0.09041740152851263
RMNP_009,RMNP,28,0.7658198356918524,0.5308641975308641,0.07430922986478541
RMNP_011,RMNP,28,0.798986494630944,0.5370370370370371,0.1111111111111111
RMNP_012,RMNP,28,0.6954645562961213,0.4876543209876542,0.08450911228689008
RMNP_013,RMNP,28,0.8037848320846517,0.5370370370370371,0.1111111111111111
RMNP_014,RMNP,28,0.7897389242458077,0.4876543209876542,0.08450911228689008
RMNP_015,RMNP,28,0.8655789583465603,0.40123456790123446,0.10044091710758377
RMNP_016,RMNP,28,0.8458227625790976,0.6296296296296297,0.09312169312169312
RMNP_017,RMNP,28,0.7015364311535686,0.26851851851851843,0.15817166372721927
RMNP_018,RMNP,28,0.6397260382408377,0.4629629629629629,0.08671369782480894
RMNP_019,RMNP,28,0.8298571274428416,0.5925925925925926,0.1037037037037037
RMNP_020,RMNP,28,0.7248839827504594,0.10123456790123457,0.3223023889690556
RMNP_041,RMNP,28,0.6724418980692042,0.4074074074074074,0.15414462081128746
RMNP_042,RMNP,28,0.6305563393974227,0.4074074074074074,0.15414462081128746
RMNP_043,RMNP,28,0.6380117274911284,0.18518518518518517,0.42380952380952386
RMNP_044,RMNP,28,0.7214256809689032,0.42160493827160495,0.16966490299823636
RMNP_045,RMNP,28,0.7725944696189045,0.45061728395061734,0.09191651969429747
RMNP_046,RMNP,28,0.8210941459906911,0.4074074074074074,0.15414462081128746
RMNP_047,RMNP,28,0.6033122784619773,0.35802469135802467,0.10852439741328632
RMNP_048,RMNP,28,0.63008683082935,0.3333333333333333,0.15361552028218692
RMNP_049,RMNP,28,0.6178045549099574,0.35802469135802467,0.10852439741328632
SCBI_010,SCBI,16,0.9958333333333333,0.9666666666666667,0.011111111111111108
SCBI_015,SCBI,16,0.7930938208744595,0.5277777777777778,0.12896103896103897
SCBI_023,SCBI,16,0.823584430436173,0.6444444444444444,0.1271765271765272
SCBI_045,SCBI,16,0.7376869336426257,0.5242063492063492,0.06623376623376624
SCBI_047,SCBI,16,0.6189299981903715,0.39285714285714285,0.08880271775008618
SCBI_048,SCBI,16,0.7822453212115487,0.5333333333333333,0.12755411255411253
SCBI_049,SCBI,16,0.7055805184329744,0.30436507936507934,0.24569340016708435
SCBI_050,SCBI,16,0.6175762902255449,0.42857142857142855,0.09984848484848487
SCBI_051,SCBI,16,0.7208001558968657,0.4880952380952381,0.08284271284271286
SCBI_054,SCBI,16,0.6715221240835949,0.4103174603174603,0.086516232305706
SCBI_056,SCBI,16,0.6358908720913182,0.3706349206349206,0.11844155844155844
SCBI_058,SCBI,16,0.6324575563230714,0.4920634920634921,0.06457472352209197
SCBI_062,SCBI,16,0.6259121494049626,0.4023809523809524,0.08629645208592578
SCBI_063,SCBI,16,0.7133209955584155,0.3111111111111111,0.25614237614237617
SCBI_067,SCBI,16,0.644562606787685,0.41111111111111104,0.10087912087912088
SCBI_071,SCBI,16,0.8923947378143936,0.7388888888888888,0.06619769119769121
SERC_001,SERC,27,0.6903207669740288,0.3397435897435897,0.14483956214725444
SERC_003,SERC,27,0.7132777204967956,0.3737179487179487,0.14170765132303592
SERC_010,SERC,27,0.699595616908158,0.21794871794871795,0.2817868029406491
SERC_011,SERC,27,0.6409998046747721,0.19230769230769232,0.39034683265452497
SERC_016,SERC,27,0.6199275068048475,0.3858058608058608,0.1177930854967054
SERC_017,SERC,27,0.7272516383389814,0.42435897435897435,0.12575319979166133
SERC_019,SERC,27,0.7642503539705318,0.4358974358974359,0.1932955932955933
SERC_022,SERC,27,0.873227125122029,0.656043956043956,0.06672189047754659
SERC_043,SERC,27,0.6349323720442726,0.2608974358974359,0.1623722431414739
SERC_044,SERC,27,0.6584284751497672,0.3442307692307693,0.12394049515090241
SERC_045,SERC,27,0.8041318602364901,0.47582417582417585,0.0890724666564152
SERC_046,SERC,27,0.848183887907961,0.19230769230769232,0.39034683265452497
SERC_047,SERC,27,0.674561973368174,0.3690934065934066,0.1247268856014986
SERC_050,SERC,27,0.6340042207579657,0.2700091575091575,0.1704478782443774
SERC_051,SERC,27,0.8025560931947423,0.6496489621489621,0.0663600169643275
SERC_052,SERC,27,0.6006722840858181,0.3032051282051282,0.134716012996556
SERC_053,SERC,27,0.5625203443303719,0.2823260073260073,0.14289963628496613
SERC_054,SERC,27,0.5560770433618292,0.3013736263736264,0.12724527860274465
SERC_055,SERC,27,0.6823822097997225,0.5562271062271061,0.07367485488764366
SERC_056,SERC,27,0.621749435813922,0.41640720390720387,0.1447311833862203
SERC_057,SERC,27,0.8176899017467153,0.6032051282051282,0.044934075477061915
SERC_058,SERC,27,0.742056827559571,0.34294871794871795,0.18440427094273246
SERC_059,SERC,27,0.7103026008582828,0.5043040293040293,0.10859137719997448
SERC_060,SERC,27,0.6733499508095044,0.5418040293040293,0.07468534680370832
SERC_061,SERC,27,0.6609093199802506,0.4417429792429792,0.1481158705944369
SERC_067,SERC,27,0.7682532203432475,0.6086996336996338,0.04116423420722064
SERC_073,SERC,27,0.6790557933875362,0.29270451770451766,0.22119932837663248
SOAP_001,SOAP,32,0.6231117414435278,0.24731182795698922,0.12480798771121351
SOAP_002,SOAP,32,0.66685467123761,0.27419354838709675,0.18847926267281104
SOAP_007,SOAP,32,0.7625445256248985,0.25806451612903225,0.19493087557603683
SOAP_008,SOAP,32,0.6332428939889772,0.25268817204301075,0.10852534562211982
SOAP_009,SOAP,32,0.8518933376230554,0.4838709677419355,0.278494623655914
SOAP_010,SOAP,32,0.8556901090379394,0.5806451612903226,0.12350230414746541
SOAP_011,SOAP,32,0.7248156651125718,0.6612903225806452,0.0533794162826421
