plotID,sev_spec,spec_year,hansen_loss,hansen_lossyear,hansen_loss_frac,fire,fire_year,sev_loss,d_spec,d_loss,d_fire,disturbed,dist_year,recency,severity
HARV_034,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_035,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_036,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_037,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_038,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_039,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_040,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_041,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_042,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_043,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_044,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_045,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_046,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_047,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_048,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_049,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_050,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_051,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_052,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_001,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_002,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_003,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_004,0.21511422454239312,2025.0,0,0,0.0,0,0,0.0,1,0,0,1,2025.0,0.0,0.21511422454239312
JERC_005,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_006,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_007,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_008,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_009,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_010,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_011,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_012,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_013,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_014,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_015,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_016,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_019,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_021,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_022,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_028,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_029,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_030,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_031,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_033,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_034,0.13887338503363822,2019.0,0,0,0.0,0,0,0.0,1,0,0,1,2019.0,6.0,0.13887338503363822
JERC_035,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_036,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_038,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_040,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_041,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_042,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_044,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_047,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_048,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_049,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_050,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_051,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_052,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_053,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_054,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_055,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_056,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_057,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_058,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_059,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_060,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_061,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_062,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_063,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_064,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_065,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
JERC_066,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_001,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_002,0.0,,1,2006,0.25,0,0,0.25,0,1,0,1,2006.0,19.0,0.25
MLBS_003,0.12667391115427018,2018.0,1,2006,0.25,0,0,0.25,1,1,0,1,2018.0,7.0,0.3766739111542702
MLBS_004,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_005,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
