plotID,year,n,frac_dead,frac_dmg,frac_burn,frac_insect,frac_dis,frac_mort_dmg
ABBY_013,2017,55,0.01818181818181818,0.0,0.0,0.0,0.0,0.01818181818181818
ABBY_013,2019,87,0.0,0.27586206896551724,0.0,0.0,0.011494252873563218,0.27586206896551724
ABBY_013,2024,89,0.12359550561797752,0.10112359550561797,0.0,0.0,0.0,0.2247191011235955
ABBY_014,2017,55,0.16363636363636364,0.01818181818181818,0.0,0.0,0.0,0.18181818181818182
ABBY_014,2019,61,0.06557377049180328,0.13114754098360656,0.0,0.01639344262295082,0.03278688524590164,0.19672131147540983
ABBY_014,2024,67,0.04477611940298507,0.16417910447761194,0.0,0.029850746268656716,0.014925373134328358,0.208955223880597
ABBY_016,2017,83,0.060240963855421686,0.024096385542168676,0.0,0.0,0.0,0.08433734939759036
ABBY_016,2019,100,0.2,0.06,0.0,0.0,0.02,0.26
ABBY_016,2024,93,0.17204301075268819,0.11827956989247312,0.0,0.0,0.03225806451612903,0.2903225806451613
ABBY_017,2017,44,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728
ABBY_017,2019,37,0.0,0.4594594594594595,0.0,0.0,0.1891891891891892,0.4594594594594595
ABBY_017,2024,64,0.171875,0.109375,0.0,0.0,0.0,0.28125
ABBY_018,2017,32,0.09375,0.15625,0.0,0.0,0.0,0.25
ABBY_018,2019,53,0.11320754716981132,0.11320754716981132,0.0,0.0,0.0,0.22641509433962265
ABBY_019,2017,50,0.02,0.0,0.0,0.0,0.0,0.02
ABBY_019,2019,56,0.0,0.16071428571428573,0.0,0.0,0.0,0.16071428571428573
ABBY_023,2017,151,0.07947019867549669,0.013245033112582781,0.0,0.0,0.0,0.09271523178807947
ABBY_023,2019,163,0.17791411042944785,0.12269938650306748,0.0,0.06748466257668712,0.0,0.3006134969325153
ABBY_023,2024,134,0.14925373134328357,0.08208955223880597,0.0,0.0,0.0,0.23134328358208955
ABBY_025,2017,139,0.04316546762589928,0.1223021582733813,0.0,0.0,0.0,0.16546762589928057
ABBY_025,2019,145,0.09655172413793103,0.12413793103448276,0.0,0.0,0.006896551724137931,0.2206896551724138
ABBY_025,2024,91,0.15384615384615385,0.14285714285714285,0.0,0.0,0.0,0.2967032967032967
ABBY_061,2015,54,0.037037037037037035,0.0,0.0,0.0,0.0,0.037037037037037035
ABBY_061,2016,105,0.009523809523809525,0.01904761904761905,0.0,0.0,0.0,0.028571428571428574
ABBY_061,2017,112,0.008928571428571428,0.125,0.0,0.0,0.017857142857142856,0.13392857142857142
ABBY_061,2018,137,0.029197080291970802,0.38686131386861317,0.0,0.0,0.0072992700729927005,0.416058394160584
ABBY_061,2019,142,0.014084507042253521,0.39436619718309857,0.0,0.0,0.02112676056338028,0.40845070422535207
ABBY_061,2020,135,0.022222222222222223,0.2,0.0,0.0,0.0,0.22222222222222224
ABBY_061,2021,135,0.06666666666666667,0.16296296296296298,0.0,0.007407407407407408,0.014814814814814815,0.22962962962962963
ABBY_061,2022,134,0.04477611940298507,0.08955223880597014,0.0,0.05223880597014925,0.007462686567164179,0.13432835820895522
ABBY_061,2023,126,0.05555555555555555,0.0873015873015873,0.0,0.007936507936507936,0.023809523809523808,0.14285714285714285
ABBY_061,2024,131,0.04580152671755725,0.022900763358778626,0.0,0.0,0.0,0.06870229007633588
ABBY_061,2025,146,0.0684931506849315,0.0410958904109589,0.0,0.0,0.0,0.1095890410958904
ABBY_062,2015,49,0.0,0.0,0.0,0.0,0.0,0.0
ABBY_062,2016,106,0.0,0.09433962264150944,0.0,0.0,0.0,0.09433962264150944
ABBY_062,2017,110,0.07272727272727272,0.10909090909090909,0.0,0.0,0.0,0.18181818181818182
ABBY_062,2018,121,0.0,0.049586776859504134,0.0,0.0,0.0,0.049586776859504134
ABBY_062,2019,147,0.034013605442176874,0.10204081632653061,0.0,0.0,0.0,0.1360544217687075
ABBY_062,2020,139,0.07913669064748201,0.014388489208633094,0.0,0.0,0.0,0.09352517985611511
ABBY_062,2021,153,0.11764705882352941,0.0,0.0,0.0,0.0,0.11764705882352941
